"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-19","6.71"," 2132"," 1948","0.32","3.0","0.0","29","31","26","   60","   60",,"17.9","23.9","    1",,,,,,,,,,,"    1",,,,,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-20","5.14"," 0009"," 0214","0.00","0.0","3.0","32","39","25","   70","   70",,"15.0","19.9","    1",,,,,,,,,,,"    1",,,,,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-21","5.82"," 1946"," 1946","0.15","0.0",,"37","40","33","  280","  280",,"15.0","23.9","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-22","8.05"," 0945"," 2346","0.00","0.0","1.0","42","47","37","  310","  250",,"15.0","21.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-23","9.62"," 1229"," 1229","0.00","0.0",,"45","48","42","  250","  250",,"21.0","34.9","    1",,,,,,,,,,,"    1",,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-24","6.26"," 2256"," 2257","0.31","0.0",,"48","50","45","  320","  310",,"16.1","21.9","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-25","10.51"," 0758",,"0.00","0.0","0.0","43","47","39","  310","  290",,"21.0","25.9",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-26","8.50"," 1025"," 0410","0.00","0.0","0.0","47","56","37","  250","  270",,"17.0","23.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-27","4.92"," 2245"," 2242","0.00","0.0","0.0","52","62","41","  250","  250",,"15.0","21.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-28","6.93"," 0904"," 0438","0.00","0.0","0.0","53","60","46","  260","  250",,"13.0","17.9",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-29","6.71"," 1347"," 2326","0.00","0.0","0.0","60","69","50","  290","  260",,"17.9","23.9",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-30","6.71"," 2350"," 2350","0.03","0.0","0.0","51","61","41","   70","   50",,"17.0","23.9",,,,,,,,,,,,,,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-31","9.62"," 0659"," 0700","0.06","0.0","0.0","39","41","36","   80","   80",,"21.0","25.1","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-01","8.50"," 1909"," 2337","0.15","0.0","0.0","47","55","38","  290","  330",,"25.9","34.9","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-02","10.07"," 0250"," 0017","0.00","0.0","0.0","35","40","29","  310","  280",,"23.0","36.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-03","6.71"," 1209"," 1214","0.00","0.0","0.0","37","43","31","  240","  250",,"17.0","23.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-04","6.93"," 2257"," 2317","0.00","0.0","0.0","34","43","25","  310","  310",,"21.0","31.1","    1",,,,,,,,,,,"    1",,,,,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-05","10.74"," 0304"," 0258","0.00","0.0",,"26","33","19","  310","  310",,"25.1","38.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-06","6.26"," 0857"," 1011","0.00","0.0","0.0","37","43","30","  290","  290",,"15.0","21.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-07","4.70"," 0226"," 0225","0.02","0.0","0.0","42","46","37","  260","  260",,"13.0","17.9","    1",,,,,,,,,,,"    1",,,"    1",,,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-08","7.38"," 2345"," 2122","0.00","0.0","0.0","45","53","37","  310","  260",,"13.0","17.9",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-09","6.49"," 1036"," 1035","0.00","0.0","0.0","42","47","36","   60","   60",,"17.0","25.1",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-10","7.16"," 1956"," 1949","0.30","0.0","0.0","47","55","38","  210","  220",,"16.1","23.9","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-11","11.63"," 0955"," 0822","0.08","0.0","0.0","40","55","24","  310","  280",,"23.9","36.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-12","8.28"," 1333"," 1329","0.00","0.0","0.0","34","45","23","  260","  250",,"23.0","31.1",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-13","10.74"," 0949"," 1205","0.00","0.0","0.0","33","42","23","  310","  320",,"21.9","29.1",,,,,,,,"    1",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-14","6.71"," 2020"," 2020","0.00","0.0","0.0","30","39","21","  240","  220",,"16.1","23.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-15","9.62"," 1449"," 1449","0.00","0.0","0.0","41","50","32","  240","  250",,"17.9","28.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-16","4.92"," 1555",,"0.00","0.0","0.0","50","56","44","  300","  240",,"12.1","17.9",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-17","8.50"," 1646"," 1947","0.00","0.0","0.0","42","49","34","  310","  320",,"19.9","29.1",,,,,,,,,,,,,,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-18","7.83"," 1206"," 1119","0.00","0.0","0.0","38","45","30","   60","   50",,"16.1","23.9",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-19","3.36"," 1419"," 1418","0.00","0.0","0.0","42","53","31","  250","  250",,"10.1","14.1",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-20","9.40"," 0812"," 0147","0.08","0.0","0.0","50","54","45","  160","  250",,"12.1","16.1","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-21","10.07",,,"0.03","0.0","0.0","57","63","50","    0","  270",,"19.9","21.9","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-22","12.30",,,"0.00","0.0","0.0","47","51","43","    0","  290",,"17.9","23.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-23","11.18",,,"0.00","0.0","0.0","40","46","34","    0","  330",,"17.0","17.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-24","8.05",,,"0.00","0.0","0.0","39","47","31","    0","  180",,"12.1","12.1",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-25",,,,"0.00","0.0","0.0","45","52","38",,,,,"0.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-26",,,,"0.00","0.0","0.0","50","58","42","    0",,,,"0.0","    1",,,,,,,,,,,"    1",,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-27",,,,"0.05","0.0","0.0","40","50","29",,,,,"0.0","    1",,,,,,,,,,,"    1",,,"    1",,"    1","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02-28",,,,"0.00","0.0","0.0","33","40","26",,,,,"0.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-01","10.29"," 1634"," 1632","0.00","0.0","0.0","38","47","28","  360","  360",,"12.1","15.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-02","11.63",,,"0.35","0.0","0.0","43","49","36",,,,,"0.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-03","14.76",,,"0.82","0.0","0.0","53","61","45",,,,,"0.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-04","16.33",,,"0.00","0.0","0.0","35","45","25",,,,,"0.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-05","12.30",,,"0.00","0.0","0.0","27","35","19","    0","    0",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-06","9.40"," 2024"," 1413","0.00","0.0","0.0","46","59","33","  220","  240",,"19.9","29.1",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-07","4.70"," 0127"," 0044","0.00","0.0","0.0","55","65","44","  230","  240",,"14.1","23.9",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-08","7.83"," 0423"," 0405","0.00","0.0","0.0","46","51","41","   50","   50",,"16.1","21.9","    1",,,,,,,"    1",,,,"    1",,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-09","8.28"," 2224",,"0.00","0.0","0.0","54","65","43","  170","    0",,"17.9","0.0","    1",,,,,,,"    1",,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-10","15.88"," 1307"," 1259","0.08","0.0","0.0","45","59","30","  270","  290",,"25.9","44.1",,,,,,,,,,,,,,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-11","8.05"," 0239"," 0336","0.00","0.0","0.0","34","41","27","  280","  280",,"19.9","25.9",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-12","4.47"," 0253",,"0.00","0.0","0.0","44","52","36","  230","    0",,"15.0","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-13","8.05"," 1020"," 1116","0.28","0.0","0.0","43","45","40","   60","   40",,"17.0","23.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-14","5.59"," 2245"," 2245","0.00","0.0","0.0","55","67","43","  190","  190",,"12.1","17.9","    1",,,,,,,,,,,"    1",,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-15","5.37"," 0106"," 0105","0.00","0.0","0.0","55","61","48","  220","  230",,"16.1","25.1","    1",,,,,,,"    1",,,,"    1",,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-16","7.16"," 2111"," 2209","0.00","0.0","0.0","51","64","37","   40","   40",,"17.9","28.0","    1",,,,,,,"    1",,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-17","8.72"," 0122"," 0125","0.03","0.0",,"36","41","30","   30","   30",,"21.9","33.1",,,,,,,,,,,,,,,"    1",,,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-18","8.95"," 2118"," 1123","0.30","0.0","0.0","36","39","33","   50","   50",,"16.1","23.0","    1",,,"    1",,,,,,,,"    1",,,"    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-19","5.59"," 2328",,"0.00","0.0","0.0","42","48","36","  100","    0",,"13.0","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-20","8.28"," 1231"," 1200","0.80","0.0","0.0","41","43","38","  130","  130",,"19.9","25.1","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-21","8.95"," 2235"," 2040","0.00","0.0",,"43","56","29","  300","  320",,"23.9","38.0",,,,,,,,,,,,,,,"    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-22","12.75"," 0152"," 0041","0.00","0.0","0.0","28","33","22","  300","  300",,"28.0","45.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-23","9.84"," 1633"," 1705","0.00","0.0","0.0","37","48","26","  240","  230",,"23.0","36.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-24","5.82"," 1236"," 1236","0.00","0.0","0.0","47","55","38","  210","  210",,"16.1","23.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-25","8.95"," 0607",,"0.02","0.0","0.0","43","50","36","   30","    0",,"21.9","0.0",,,,,,,,,,,,,,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-26","9.62"," 2153"," 2156","0.28","0.0","0.0","41","44","38","  280","  280",,"25.1","36.0","    1",,,,,,,,,,"    1","    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-27","8.50"," 1023"," 1009","0.30","0.0","0.0","46","53","38","  310","  310",,"17.0","25.9","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-28","5.59"," 2223"," 0032","0.00","0.0","0.0","46","56","35","  250","  350",,"12.1","17.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-29","8.50"," 2000",,"0.00","0.0","0.0","51","58","44","  180","    0",,"17.9","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-30","7.61"," 1402"," 0026","0.00","0.0","0.0","61","72","49","  250","  170",,"17.0","28.0",,,,,,,,,,,,,,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03-31","3.80"," 2129"," 2059","0.28","0.0","0.0","54","61","47","  140","  140",,"12.1","16.1",,,,,,,,,,,,,,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-01","8.95"," 1438"," 1438","0.06","0.0","0.0","53","60","45","  280","  290",,"23.0","31.1",,,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-02","7.38"," 1714"," 1702","0.00","0.0","0.0","48","56","39","  180","  170",,"17.9","25.9",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-03","8.05"," 1606"," 1526","0.05","0.0","0.0","60","77","42","  300","  280",,"21.0","38.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-04","9.17"," 0927"," 0249","0.00","0.0","0.0","44","51","37","  270","  290",,"17.0","28.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-05","7.38"," 1617"," 1433","0.00","0.0","0.0","39","45","32","  280","  270",,"15.0","19.9",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-06","7.61"," 1555"," 1554","0.00","0.0",,"39","47","31","  300","  290",,"21.0","30.0",,,,,,,,,,,,,,,,,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-07","6.04"," 2349"," 1805","0.00","0.0",,"39","48","30","  250","  170",,"15.0","21.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-08","8.05"," 0753"," 0818","0.00","0.0","0.0","50","59","41","  230","  230",,"16.1","21.9",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-09","8.72"," 1749"," 0854","0.04","0.0","0.0","64","76","52","  220","  230",,"19.9","30.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-10","7.38"," 0558"," 0356","0.01","0.0","0.0","58","67","48","  300","  310",,"17.0","25.1",,,,,,,,,,,,,,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-11","8.72"," 0550",,"0.00","0.0","0.0","53","60","46","   60","   80",,"17.9","23.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-12","5.37"," 1157"," 1703","0.11","0.0","0.0","51","57","44","  170","  160",,"12.1","15.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-13","6.26"," 2302"," 2224","0.03","0.0","0.0","64","73","55","  240","  220",,"14.1","21.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-14","5.82"," 1645"," 1646","0.11","0.0","0.0","66","75","56","  150","  150",,"16.1","19.9","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-15","6.26"," 0306"," 0305","0.03","0.0","0.0","71","82","59","  280","  260",,"16.1","23.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-16","5.59"," 1721",,"0.00","0.0","0.0","81","92","69","  170","  170",,"13.0","16.1",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-17","5.59"," 1438"," 1438","0.00","0.0","0.0","85","96","74","  160","  150",,"14.1","17.9",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-18","6.04"," 1946"," 1945","0.00","0.0","0.0","84","91","76","  220","  240",,"14.1","21.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-19","4.70"," 1708"," 1705","0.23","0.0","0.0","76","89","63","  300","  280",,"33.1","47.0","    1","    1",,,,,,"    1",,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-20","4.03"," 0954"," 2242","0.04","0.0","0.0","62","68","55","   40","  330",,"12.1","16.1","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-21","5.59"," 0045"," 0414","0.00","0.0","0.0","53","57","49","  300","  330",,"14.1","19.9",,,,,,,,,,,,,,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-22","6.49"," 2318"," 2314","0.35","0.0","0.0","49","55","42","  310","  300",,"16.1","23.9","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-23","7.83"," 1128"," 1034","0.00","0.0","0.0","48","56","39","  290","  350",,"16.1","23.9",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-24","5.14"," 2138"," 2137","0.00","0.0","0.0","51","62","40","  190","  200",,"15.0","21.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-25","6.49"," 1105"," 0932","0.55","0.0","0.0","48","52","43","  160","  160",,"17.0","28.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-26","7.83"," 0811"," 0755","0.00","0.0","0.0","51","60","42","  300","  270",,"17.9","28.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-27","5.14"," 1708"," 1921","0.01","0.0","0.0","52","64","40","  170","  180",,"13.0","17.0",,,,,,,,,,,,,,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-28","7.16"," 1928"," 1947","1.64","0.0","0.0","52","56","48","   50","  290",,"17.0","23.9","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-29","9.17"," 1945"," 1945","0.00","0.0","0.0","49","54","43","  300","  280",,"19.9","28.0","    1",,,,,,,,,,,"    1",,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04-30","6.71"," 0056"," 0014","0.15","0.0","0.0","51","60","41","  300","  270",,"15.0","23.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-05-01","4.47"," 1121"," 1235","0.00","0.0","0.0","56","68","44","  290","  280",,"17.0","21.9",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-05-02","6.04"," 0742"," 0725","0.43","0.0","0.0","53","58","48","  150","  140",,"17.0","25.9","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-05-03","11.41"," 1433"," 1432","0.00","0.0","0.0","55","61","48","  310","  310",,"25.9","40.0","    1",,,,,,,,,,,"    1",,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-05-04","6.26"," 1539"," 2139","0.00","0.0","0.0","57","68","46","  170","  190",,"14.1","19.9",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-05-05","6.49"," 1623"," 1607","0.00","0.0","0.0","61","71","51","  170","  170",,"14.1","21.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-05-06","6.71",,,"0.00","0.0","0.0","64","75","53","  170","  200",,"13.0","19.9",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-05-07","4.25"," 1358"," 1630","0.00","0.0","0.0","69","80","57","  250","  210",,"12.1","17.0",,,,,,,,,,,,,,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-05-08","7.38"," 1411"," 0559","0.00","0.0","0.0","64","72","55","  140","   60",,"16.1","21.9",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-05-09","5.82"," 1606"," 1606","0.15","0.0","0.0","53","56","49","  100","   70",,"13.0","16.1","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-05-10","7.61"," 1812"," 1622","0.00","0.0","0.0","65","75","54","  270","  280",,"17.9","28.0","    1",,,,,,,,,,,"    1",,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-05-11","5.37"," 1029"," 0316","0.00","0.0","0.0","62","71","52","  290","  290",,"15.0","23.9",,,,,,,,,,,,,,,,,,,,,
